iter	RMSE	MAPE	MAE	R2
0	2.366633532	0.970616288	1.67676703	0.001384947425
75	2.247895307	0.9105983327	1.579454282	0.09907582216
150	2.138503515	0.855094503	1.489381851	0.1846275795
225	2.037915	0.8038443288	1.406268452	0.2595287297
300	1.946013223	0.7565884349	1.329702932	0.3248074296
375	1.862040284	0.712898975	1.259155028	0.3818210311
450	1.785082951	0.6724835153	1.194007692	0.4318632466
525	1.715256666	0.6352705209	1.134179594	0.4754410363
600	1.651341186	0.6009254216	1.078995054	0.5138058755
675	1.593064254	0.5690646987	1.028018252	0.5475165842
750	1.540109756	0.5396519717	0.9809866643	0.5770983058
825	1.492298497	0.5125723743	0.9379425333	0.6029479123
900	1.449051274	0.4876238126	0.8986358762	0.6256278038
975	1.40997077	0.464671352	0.8628224031	0.6455489232
999	1.398329838	0.4577769423	0.8521376549	0.6513775661
