iter	Passed	Remaining
0	24	372570
1	39	296911
2	866	4331830
3	898	3367952
4	930	2790622
5	3389	8471039
6	3401	7286348
7	3421	6411091
8	3629	6045344
9	3648	5468774
10	5254	7160207
11	5266	6578437
12	5379	6201641
13	6997	7490089
14	7107	7099940
15	7215	6756973
16	7222	6365429
17	7627	6348246
18	10076	7944805
19	10286	7704732
20	10344	7378530
21	10453	7116801
22	10510	6844179
23	10569	6595542
24	10979	6576888
25	10992	6330757
26	11101	6156597
27	13560	7251064
28	13580	7010590
29	13592	6782620
30	13611	6572591
31	13643	6381719
32	13854	6283510
33	13913	6124245
34	14021	5995122
35	14033	5833136
36	15647	6328077
37	15706	6184332
38	15739	6037816
39	16155	6042091
40	16167	5898710
41	16225	5778714
42	16433	5716283
43	16642	5656845
44	16661	5537230
45	16680	5422657
46	16713	5317269
47	16919	5270540
48	17732	5410516
49	17790	5319412
50	18603	5453116
51	18663	5365175
52	18722	5279996
53	21178	5861866
54	21198	5760079
55	21256	5672401
56	21288	5580962
57	21395	5511953
58	21798	5520262
59	21906	5454737
60	22319	5465966
61	22734	5477527
62	22792	5404040
63	22852	5333094
64	22909	5263861
65	23117	5230966
66	23176	5165573
67	23197	5093799
68	23206	5021638
69	23614	5036683
70	23624	4967401
71	24431	5065524
72	24464	5002440
73	24471	4935904
74	24678	4911028
75	27123	5326113
76	27142	5260379
77	27154	5194924
78	27558	5205140
79	27565	5140959
80	27577	5079419
81	27686	5036880
82	27793	4995190
83	27806	4937577
84	27818	4881402
85	27876	4834328
86	28688	4917655
87	28707	4864652
88	28740	4815103
89	28772	4766708
90	28881	4731852
91	29708	4814086
92	29728	4765174
93	29760	4719328
94	29875	4687376
95	32373	5025933
96	34851	5354511
97	34863	5301377
98	34971	5263808
99	35081	5227185
100	35140	5183765
101	35255	5149392
102	35269	5100994
103	35328	5060102
104	35360	5016148
105	35370	4969841
106	35430	4931448
107	35488	4893431
108	35597	4863081
109	35616	4821229
110	36426	4886066
111	36636	4869972
112	36694	4834302
113	36802	4805641
114	36834	4767684
115	36841	4727107
116	37251	4738631
117	37260	4699245
118	37318	4666736
119	37350	4631501
120	37764	4643793
121	37971	4630686
122	37978	4593501
123	38036	4563199
124	38070	4530426
125	38083	4495633
126	38115	4463679
127	38173	4435292
128	38978	4493437
129	38997	4460703
130	39029	4429978
131	39137	4408270
132	39542	4420173
133	39757	4410695
134	39789	4381284
135	39802	4350129
136	39820	4320125
137	41440	4462921
138	41448	4431447
139	41480	4402897
140	41487	4372112
141	41499	4342275
142	41558	4317680
143	41767	4309048
144	41799	4282239
145	43437	4419336
146	44241	4470164
147	44275	4443077
148	44383	4423774
149	44592	4414643
150	44612	4387061
151	44669	4363516
152	44701	4337810
153	44761	4315099
154	44793	4290047
155	44806	4263488
156	44825	4237845
157	44844	4212586
158	44904	4191400
159	47358	4392543
160	47391	4368008
161	47450	4346132
162	47457	4319763
163	47874	4330860
164	47935	4309817
165	47995	4288932
166	48820	4336279
167	49040	4329615
168	49047	4304295
169	49110	4284163
170	49220	4268362
171	49426	4261058
172	49439	4237201
173	49471	4215351
174	51947	4400706
175	52061	4384998
176	52270	4377474
177	52303	4355287
178	52336	4333388
179	52356	4310663
180	52415	4291377
181	52447	4270148
182	52555	4255309
183	52667	4240866
184	52687	4219299
185	52693	4196758
186	52712	4175546
187	52771	4157734
188	53186	4167932
189	53198	4146672
190	53257	4129297
191	53277	4109011
192	53296	4088921
193	54122	4130581
194	54154	4111606
195	54174	4091815
196	54187	4071731
197	54219	4053295
198	54636	4063687
199	54644	4043721
200	54657	4024268
201	54670	4005009
202	54688	3986367
203	54701	3967454
204	54908	3962803
205	55017	3951134
206	55077	3936010
207	55089	3917701
208	55107	3900002
209	55139	3883386
210	55545	3893161
211	55564	3875852
212	55622	3861477
213	55680	3847152
214	55889	3843356
215	58344	3993347
216	58402	3978634
217	58509	3967401
218	59319	4003658
219	59427	3992428
220	60240	4028489
221	60661	4038105
222	60774	4027166
223	61200	4037059
224	61310	4026044
225	61418	4015018
226	61430	3997822
227	61449	3981252
228	61556	3970554
229	61577	3954317
230	61608	3938973
231	62020	3947915
232	62039	3931891
233	62051	3915625
234	62084	3900731
235	62117	3886042
236	62928	3919872
237	62941	3903949
238	63051	3894149
239	63063	3878391
240	63469	3886917
241	64287	3920483
242	64319	3906047
243	64425	3896188
244	64635	3892637
245	64699	3880382
246	64733	3866431
247	65141	3874878
248	65349	3871340
249	65555	3867752
250	67991	3995217
251	68098	3985356
252	68156	3972715
253	68174	3957871
254	68230	3945357
255	68344	3936189
256	68402	3923972
257	68414	3909199
258	68820	3916920
259	68928	3907703
260	68961	3894354
261	68970	3879732
262	68989	3865780
263	69047	3854080
264	69104	3842489
265	69123	3828826
266	69233	3820292
267	69240	3806150
268	70851	3879981
