YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2017Q4,0.35689583333333336,1.0,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,4.0,2017
2018Q1,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2018
2018Q2,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2018Q3,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2018Q4,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2019Q1,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2019Q2,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2019Q3,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2019Q4,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2020Q1,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2020Q2,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2020Q3,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2020Q4,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
2021Q1,0.5312773109243698,1.9747899159663866,Partial Upfront,8.0,SSD,Linux,1.0,0.3,60.0,1.0,2019
