YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2019Q3,1.3826190476190476,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,3.0,2019
2019Q4,1.4450277777777776,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,4.0,2019
2020Q3,1.6077916666666665,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,3.0,2020
2021Q3,2.181208333333333,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,3.0,2021
2022Q1,1.6676458333333333,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,1.0,2022
2022Q2,1.4282083333333333,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,2.0,2022
2022Q3,1.4282083333333333,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,2.0,2023
2022Q4,1.4282083333333333,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,2.0,2023
2023Q1,1.4282083333333333,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,2.0,2023
2023Q2,1.4282083333333333,2.0,Partial Upfront,48.0,SSD,Linux,192.0,50.0,900.0,2.0,2023
