YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2019Q3,2.4337857142857144,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,3.0,2019
2019Q4,2.4961944444444444,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,4.0,2019
2020Q3,2.658958333333333,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,3.0,2020
2021Q3,3.232375,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,3.0,2021
2022Q1,2.310625,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,1.0,2022
2022Q2,2.479375,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,2.0,2022
2022Q3,2.479375,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,2.0,2023
2022Q4,2.479375,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,2.0,2023
2023Q1,2.479375,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,2.0,2023
2023Q2,2.479375,2.0,Partial Upfront,48.0,SSD,Windows,192.0,50.0,900.0,2.0,2023
