OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
38NPMPTW36,0.969,f1.4xlarge,FPGA Instances,3,Partial Upfront,standard,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
4NA7Y494T4,2.584,f1.4xlarge,FPGA Instances,1,No Upfront,standard,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
7NE97W5U4E,2.952,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
BPH4J8HBKS,1.942,f1.4xlarge,FPGA Instances,3,No Upfront,standard,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
CUZHX8X6JH,1.474,f1.4xlarge,FPGA Instances,1,Partial Upfront,convertible,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
HU7G6KETJZ,1.299,f1.4xlarge,FPGA Instances,1,Partial Upfront,standard,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
R5XV2EPZQZ,1.095,f1.4xlarge,FPGA Instances,3,Partial Upfront,convertible,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
Z2E3P23VKM,2.213,f1.4xlarge,FPGA Instances,3,No Upfront,convertible,US,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
38NPMPTW36,0.4827,f1.2xlarge,FPGA Instances,3,Partial Upfront,standard,EU,8,122,Shared,RHEL_HA,2021,10.0,2021-06-01,NVMe SSD,470
4NA7Y494T4,1.3272,f1.2xlarge,FPGA Instances,1,No Upfront,standard,EU,8,122,Shared,RHEL_HA,2021,10.0,2021-06-01,NVMe SSD,470
7NE97W5U4E,1.502,f1.2xlarge,FPGA Instances,1,No Upfront,convertible,EU,8,122,Shared,RHEL_HA,2021,10.0,2021-06-01,NVMe SSD,470
BPH4J8HBKS,1.0298,f1.2xlarge,FPGA Instances,3,No Upfront,standard,EU,8,122,Shared,RHEL_HA,2021,10.0,2021-06-01,NVMe SSD,470
CUZHX8X6JH,0.7191,f1.2xlarge,FPGA Instances,1,Partial Upfront,convertible,EU,8,122,Shared,RHEL_HA,2021,10.0,2021-06-01,NVMe SSD,470
HU7G6KETJZ,0.6359,f1.2xlarge,FPGA Instances,1,Partial Upfront,standard,EU,8,122,Shared,RHEL_HA,2021,10.0,2021-06-01,NVMe SSD,470
R5XV2EPZQZ,0.5432,f1.2xlarge,FPGA Instances,3,Partial Upfront,convertible,EU,8,122,Shared,RHEL_HA,2021,10.0,2021-06-01,NVMe SSD,470
Z2E3P23VKM,1.1605,f1.2xlarge,FPGA Instances,3,No Upfront,convertible,EU,8,122,Shared,RHEL_HA,2021,10.0,2021-06-01,NVMe SSD,470
38NPMPTW36,3.063,f1.16xlarge,FPGA Instances,3,Partial Upfront,standard,US,64,976,Shared,Linux,2017,25.0,2017-08-31,NVMe SSD,3760
4NA7Y494T4,8.9579,f1.16xlarge,FPGA Instances,1,No Upfront,standard,US,64,976,Shared,Linux,2017,25.0,2017-08-31,NVMe SSD,3760
7NE97W5U4E,10.2966,f1.16xlarge,FPGA Instances,1,No Upfront,convertible,US,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
BPH4J8HBKS,6.621,f1.16xlarge,FPGA Instances,3,No Upfront,standard,US,64,976,Shared,Linux,2017,25.0,2017-08-31,NVMe SSD,3760
CUZHX8X6JH,4.9004,f1.16xlarge,FPGA Instances,1,Partial Upfront,convertible,US,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
HU7G6KETJZ,4.2629,f1.16xlarge,FPGA Instances,1,Partial Upfront,standard,US,64,976,Shared,Linux,2017,25.0,2017-08-31,NVMe SSD,3760
R5XV2EPZQZ,3.5204,f1.16xlarge,FPGA Instances,3,Partial Upfront,convertible,US,64,976,Shared,Linux,2017,25.0,2017-08-31,NVMe SSD,3760
Z2E3P23VKM,7.6091,f1.16xlarge,FPGA Instances,3,No Upfront,convertible,US,64,976,Shared,Linux,2017,25.0,2017-08-31,NVMe SSD,3760
38NPMPTW36,1.019,f1.4xlarge,FPGA Instances,3,Partial Upfront,standard,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
4NA7Y494T4,2.977,f1.4xlarge,FPGA Instances,1,No Upfront,standard,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
7NE97W5U4E,3.418,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
BPH4J8HBKS,2.206,f1.4xlarge,FPGA Instances,3,No Upfront,standard,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
CUZHX8X6JH,1.625,f1.4xlarge,FPGA Instances,1,Partial Upfront,convertible,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
HU7G6KETJZ,1.415,f1.4xlarge,FPGA Instances,1,Partial Upfront,standard,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
R5XV2EPZQZ,1.171,f1.4xlarge,FPGA Instances,3,Partial Upfront,convertible,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
Z2E3P23VKM,2.534,f1.4xlarge,FPGA Instances,3,No Upfront,convertible,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
38NPMPTW36,0.4191,f1.2xlarge,FPGA Instances,3,Partial Upfront,standard,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
4NA7Y494T4,1.2266,f1.2xlarge,FPGA Instances,1,No Upfront,standard,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
7NE97W5U4E,1.4106,f1.2xlarge,FPGA Instances,1,No Upfront,convertible,EU,8,122,Shared,Linux,2017,10.0,2017-10-31,NVMe SSD,470
BPH4J8HBKS,0.9053,f1.2xlarge,FPGA Instances,3,No Upfront,standard,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
CUZHX8X6JH,0.6717,f1.2xlarge,FPGA Instances,1,Partial Upfront,convertible,EU,8,122,Shared,Linux,2017,10.0,2017-10-31,NVMe SSD,470
HU7G6KETJZ,0.5841,f1.2xlarge,FPGA Instances,1,Partial Upfront,standard,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
R5XV2EPZQZ,0.4824,f1.2xlarge,FPGA Instances,3,Partial Upfront,convertible,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
Z2E3P23VKM,1.0419,f1.2xlarge,FPGA Instances,3,No Upfront,convertible,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
38NPMPTW36,0.5494,f1.2xlarge,FPGA Instances,3,Partial Upfront,standard,US,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
4NA7Y494T4,1.3572,f1.2xlarge,FPGA Instances,1,No Upfront,standard,US,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
7NE97W5U4E,1.5412,f1.2xlarge,FPGA Instances,1,No Upfront,convertible,US,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
BPH4J8HBKS,1.0358,f1.2xlarge,FPGA Instances,3,No Upfront,standard,US,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
CUZHX8X6JH,0.802,f1.2xlarge,FPGA Instances,1,Partial Upfront,convertible,US,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
HU7G6KETJZ,0.7144,f1.2xlarge,FPGA Instances,1,Partial Upfront,standard,US,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
R5XV2EPZQZ,0.6123,f1.2xlarge,FPGA Instances,3,Partial Upfront,convertible,US,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
Z2E3P23VKM,1.1717,f1.2xlarge,FPGA Instances,3,No Upfront,convertible,US,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
38NPMPTW36,1.006,f1.4xlarge,FPGA Instances,3,Partial Upfront,standard,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
4NA7Y494T4,2.944,f1.4xlarge,FPGA Instances,1,No Upfront,standard,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
7NE97W5U4E,3.385,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
BPH4J8HBKS,2.173,f1.4xlarge,FPGA Instances,3,No Upfront,standard,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
CUZHX8X6JH,1.612,f1.4xlarge,FPGA Instances,1,Partial Upfront,convertible,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
HU7G6KETJZ,1.402,f1.4xlarge,FPGA Instances,1,Partial Upfront,standard,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
R5XV2EPZQZ,1.158,f1.4xlarge,FPGA Instances,3,Partial Upfront,convertible,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
Z2E3P23VKM,2.501,f1.4xlarge,FPGA Instances,3,No Upfront,convertible,AWSGovCloud,16,244,Dedicated,Linux,2018,10.0,2018-08-21,NVMe SSD,940
38NPMPTW36,3.6706,f1.16xlarge,FPGA Instances,3,Partial Upfront,standard,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
4NA7Y494T4,10.738,f1.16xlarge,FPGA Instances,1,No Upfront,standard,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
7NE97W5U4E,12.3437,f1.16xlarge,FPGA Instances,1,No Upfront,convertible,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
BPH4J8HBKS,7.9334,f1.16xlarge,FPGA Instances,3,No Upfront,standard,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
CUZHX8X6JH,5.8752,f1.16xlarge,FPGA Instances,1,Partial Upfront,convertible,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
HU7G6KETJZ,5.1106,f1.16xlarge,FPGA Instances,1,Partial Upfront,standard,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
R5XV2EPZQZ,4.2226,f1.16xlarge,FPGA Instances,3,Partial Upfront,convertible,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
Z2E3P23VKM,9.1257,f1.16xlarge,FPGA Instances,3,No Upfront,convertible,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
38NPMPTW36,3.6576,f1.16xlarge,FPGA Instances,3,Partial Upfront,standard,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
4NA7Y494T4,10.705,f1.16xlarge,FPGA Instances,1,No Upfront,standard,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
7NE97W5U4E,12.3107,f1.16xlarge,FPGA Instances,1,No Upfront,convertible,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
BPH4J8HBKS,7.9004,f1.16xlarge,FPGA Instances,3,No Upfront,standard,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
CUZHX8X6JH,5.8622,f1.16xlarge,FPGA Instances,1,Partial Upfront,convertible,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
HU7G6KETJZ,5.0976,f1.16xlarge,FPGA Instances,1,Partial Upfront,standard,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
R5XV2EPZQZ,4.2096,f1.16xlarge,FPGA Instances,3,Partial Upfront,convertible,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
Z2E3P23VKM,9.0927,f1.16xlarge,FPGA Instances,3,No Upfront,convertible,AWSGovCloud,64,976,Shared,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
38NPMPTW36,0.5333,f1.2xlarge,FPGA Instances,3,Partial Upfront,standard,EU,8,122,Shared,Linux,2021,10.0,2021-06-01,NVMe SSD,470
4NA7Y494T4,1.2952,f1.2xlarge,FPGA Instances,1,No Upfront,standard,EU,8,122,Shared,Linux,2021,10.0,2021-06-01,NVMe SSD,470
7NE97W5U4E,1.47,f1.2xlarge,FPGA Instances,1,No Upfront,convertible,EU,8,122,Shared,Linux,2021,10.0,2021-06-01,NVMe SSD,470
BPH4J8HBKS,1.0011,f1.2xlarge,FPGA Instances,3,No Upfront,standard,EU,8,122,Shared,Linux,2021,10.0,2021-06-01,NVMe SSD,470
CUZHX8X6JH,0.7681,f1.2xlarge,FPGA Instances,1,Partial Upfront,convertible,EU,8,122,Shared,Linux,2021,10.0,2021-06-01,NVMe SSD,470
HU7G6KETJZ,0.6849,f1.2xlarge,FPGA Instances,1,Partial Upfront,standard,EU,8,122,Shared,Linux,2021,10.0,2021-06-01,NVMe SSD,470
R5XV2EPZQZ,0.5938,f1.2xlarge,FPGA Instances,3,Partial Upfront,convertible,EU,8,122,Shared,Linux,2021,10.0,2021-06-01,NVMe SSD,470
Z2E3P23VKM,1.1318,f1.2xlarge,FPGA Instances,3,No Upfront,convertible,EU,8,122,Shared,Linux,2021,10.0,2021-06-01,NVMe SSD,470
38NPMPTW36,1.098,f1.4xlarge,FPGA Instances,3,Partial Upfront,standard,EU,16,244,Dedicated,Linux,2021,10.0,2021-07-01,NVMe SSD,940
4NA7Y494T4,2.964,f1.4xlarge,FPGA Instances,1,No Upfront,standard,EU,16,244,Dedicated,Linux,2021,10.0,2021-07-01,NVMe SSD,940
7NE97W5U4E,3.389,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,EU,16,244,Dedicated,Linux,2021,10.0,2021-07-01,NVMe SSD,940
BPH4J8HBKS,2.222,f1.4xlarge,FPGA Instances,3,No Upfront,standard,EU,16,244,Dedicated,Linux,2021,10.0,2021-07-01,NVMe SSD,940
CUZHX8X6JH,1.682,f1.4xlarge,FPGA Instances,1,Partial Upfront,convertible,EU,16,244,Dedicated,Linux,2021,10.0,2021-07-01,NVMe SSD,940
HU7G6KETJZ,1.48,f1.4xlarge,FPGA Instances,1,Partial Upfront,standard,EU,16,244,Dedicated,Linux,2021,10.0,2021-07-01,NVMe SSD,940
R5XV2EPZQZ,1.244,f1.4xlarge,FPGA Instances,3,Partial Upfront,convertible,EU,16,244,Dedicated,Linux,2021,10.0,2021-07-01,NVMe SSD,940
Z2E3P23VKM,2.537,f1.4xlarge,FPGA Instances,3,No Upfront,convertible,EU,16,244,Dedicated,Linux,2021,10.0,2021-07-01,NVMe SSD,940
38NPMPTW36,0.994,f1.4xlarge,FPGA Instances,3,Partial Upfront,standard,AWSGovCloud,16,244,Shared,RHEL_HA,2021,10.0,2021-03-01,NVMe SSD,940
4NA7Y494T4,2.838,f1.4xlarge,FPGA Instances,1,No Upfront,standard,AWSGovCloud,16,244,Shared,RHEL_HA,2021,10.0,2021-03-01,NVMe SSD,940
7NE97W5U4E,3.24,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,AWSGovCloud,16,244,Shared,RHEL_HA,2021,10.0,2021-03-01,NVMe SSD,940
BPH4J8HBKS,2.134,f1.4xlarge,FPGA Instances,3,No Upfront,standard,AWSGovCloud,16,244,Shared,RHEL_HA,2021,10.0,2021-03-01,NVMe SSD,940
