OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
38NPMPTW36,1.57775,g5.12xlarge,GPU instance,3,Partial Upfront,standard,AsiaPacific,48,192,Dedicated,RHEL_HA,2022,40.0,2022-06-01,NVMe SSD,3800
4NA7Y494T4,4.88196,g5.12xlarge,GPU instance,1,No Upfront,standard,AsiaPacific,48,192,Dedicated,RHEL_HA,2022,40.0,2022-06-01,NVMe SSD,3800
7NE97W5U4E,6.06195,g5.12xlarge,GPU instance,1,No Upfront,convertible,AsiaPacific,48,192,Dedicated,RHEL_HA,2022,40.0,2022-06-01,NVMe SSD,3800
BPH4J8HBKS,3.39524,g5.12xlarge,GPU instance,3,No Upfront,standard,AsiaPacific,48,192,Dedicated,RHEL_HA,2022,40.0,2022-06-01,NVMe SSD,3800
CUZHX8X6JH,2.8905,g5.12xlarge,GPU instance,1,Partial Upfront,convertible,AsiaPacific,48,192,Dedicated,RHEL_HA,2022,40.0,2022-06-01,NVMe SSD,3800
HU7G6KETJZ,2.3286,g5.12xlarge,GPU instance,1,Partial Upfront,standard,AsiaPacific,48,192,Dedicated,RHEL_HA,2022,40.0,2022-06-01,NVMe SSD,3800
R5XV2EPZQZ,1.95235,g5.12xlarge,GPU instance,3,Partial Upfront,convertible,AsiaPacific,48,192,Dedicated,RHEL_HA,2022,40.0,2022-06-01,NVMe SSD,3800
Z2E3P23VKM,4.20438,g5.12xlarge,GPU instance,3,No Upfront,convertible,AsiaPacific,48,192,Dedicated,RHEL_HA,2022,40.0,2022-06-01,NVMe SSD,3800
38NPMPTW36,3.93871,g5.48xlarge,GPU instance,3,Partial Upfront,standard,AsiaPacific,192,768,Dedicated,Linux,2022,100.0,2022-06-01,NVMe SSD,7600
4NA7Y494T4,12.38179,g5.48xlarge,GPU instance,1,No Upfront,standard,AsiaPacific,192,768,Dedicated,Linux,2022,100.0,2022-06-01,NVMe SSD,7600
7NE97W5U4E,15.46226,g5.48xlarge,GPU instance,1,No Upfront,convertible,AsiaPacific,192,768,Dedicated,Linux,2022,100.0,2022-06-01,NVMe SSD,7600
