YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2020Q2,1.8056333333333334,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,2.0,2020
2020Q4,1.8143458333333333,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,4.0,2020
2021Q1,2.25068125,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,1.0,2021
2021Q4,1.7221208333333333,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,4.0,2021
2022Q1,2.1281708333333333,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,1.0,2022
2022Q3,2.0876104166666667,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,3.0,2022
2022Q4,2.0927729166666666,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,4.0,2022
2023Q1,2.0927729166666666,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,4.0,2023
2023Q2,2.0927729166666666,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,4.0,2023
2023Q3,2.0927729166666666,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,4.0,2023
2023Q4,2.0927729166666666,2.0,No Upfront,64.0,SSD,Linux,26.0,25.0,3800.0,4.0,2023
