Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Years used to predict,bagging_temperature,depth,iterations,learning_rate,loss_function,metric_period,od_wait,random_seed,task_type,z-threshold,MAE,MAPE,MSE,R-squared,RMSE,best_iteration,learn_MAE,learn_MAPE,learn_R2,learn_RMSE,validation_MAE,validation_MAPE,validation_R2,validation_RMSE,all years for prediction,dataset,task_type,model_type,year to predict,experiment,outlier
2023-06-19 01:06:29,8.7min,67103df3b7bc4f71bf258d97bceba0d1,amusing-crow-486,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2021],0.2,16,15000,0.001,RMSE,75,100,42,GPU,0.75,0.6227787761593351,0.4809948170237214,1.0970800672708798,0.6986300053266484,1.047415899855869,11340,0.596550372897797,0.30367323033865223,0.6807173002846483,0.9980794901449411,0.6129758150827909,0.30468224817789413,0.6694400046511011,1.0274191897545548,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-18 23:55:15,20.9min,fb6705239a1549ff845f3c9b72f2e294,kindly-robin-904,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2019 2020 2021],0.2,16,15000,0.001,RMSE,75,100,42,GPU,0.75,0.6299398565695782,0.4929838694048533,1.094100618245004,0.6994484656777615,1.045992647318806,14993,0.6597686789341275,0.3376696274695597,0.6795743794612096,1.0367458805382224,0.652172130031297,0.335984854112194,0.685791500328218,1.0231514381594995,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-19 00:48:41,12.6min,dc1fefc448f048ba90fa55ec0cec52e6,skittish-shoat-929,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2020 2021],0.2,16,15000,0.001,RMSE,75,100,42,GPU,0.75,0.6305760217165787,0.49492424898087234,1.093469919777403,0.6996217197541885,1.0456911206362054,10844,0.6428730732209839,0.32717668546670997,0.6735318986882469,1.0377273262875664,0.6411245334307043,0.3291132108842502,0.6711490564118059,1.029037107715904,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-19 00:17:23,30.0min,561ac97c9eae4ba8b845a4a217bb41cd,invincible-ray-106,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2018 2019 2020 2021],0.2,16,15000,0.001,RMSE,75,100,42,GPU,0.75,0.6333867892924862,0.499175671945182,1.0983061895886534,0.6982931871787301,1.0480010446505545,14990,0.7044129820422055,0.3621912926998341,0.6558348141719479,1.0886608227348213,0.7122353220665439,0.3618181040984864,0.6462217012154294,1.107088401919754,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-19 01:26:17,6.7min,ec444c0cb127471bb6935b44c079b5fd,gaudy-dog-297,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2017 2018 2019 2020 2021],0.2,16,15000,0.001,RMSE,75,100,42,GPU,0.75,0.6491109818512603,0.5829085807968383,1.1459241468225745,0.6852124431691871,1.070478466304939,4403,0.6863389597422327,0.3530352975227874,0.6604695076341416,1.081628684708772,0.7007374580111432,0.3578161809159267,0.6512130057627912,1.0977725880884772,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-19 01:49:30,6.4min,ff59676ef29c4e7c97a12fe31216e5f7,kindly-hare-631,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2016 2017 2018 2019 2020 2021],0.2,16,15000,0.001,RMSE,75,100,42,GPU,0.75,0.6578652016215181,0.6175870444346095,1.1805658651963657,0.6756962968155704,1.086538478470213,3985,0.6767884839657028,0.34966230771591533,0.6640793659879445,1.0696426411102877,0.6843053403859773,0.3557398913332153,0.6461983256728363,1.082002165961738,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-18 02:30:05,18.1min,5e273768621a4adea8efbcf839588ba1,loud-skink-684,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2017 2018 2019 2020 2021],0.2,16,10000,0.001,RMSE,75,100,42,CPU,0.75,0.6604659156871453,0.5876880615673475,1.1755457008274812,0.6770753455780492,1.084225853236991,,0.68557068606997,0.3517009820504502,0.660438299154325,1.0816783219478265,0.699372454204438,0.3562065839533762,0.6519045871742211,1.0966861186568766,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-18 23:27:31,10.8min,186e5cc9ba2e478eaa65aa1255be2d3c,thundering-pig-692,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2021],0.2,16,10000,0.001,RMSE,75,100,42,CPU,0.75,0.6613673695373026,0.6336678500806248,1.185966122754348,0.6742128357264154,1.0890207173210011,,0.5918096257210702,0.30156125884856544,0.683743199285272,0.9933388172621254,0.6155743021263789,0.30563387696787736,0.6628176378653229,1.0376557129514965,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-18 02:10:13,16.5min,65123be6d64a4bf5bc34a88c9511ca23,sincere-calf-918,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2016 2017 2018 2019 2020 2021],0.2,16,10000,0.001,RMSE,75,100,42,CPU,0.75,0.6648090656380167,0.6040244022554223,1.2039235023848278,0.6692799091652324,1.0972344792180146,,0.6759023312989648,0.3480817888081148,0.6640673452782782,1.0696617838482718,0.6827863321135196,0.35382823592225693,0.6468735619451593,1.080972346179475,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
2023-06-18 23:14:04,11.0min,8372f97f35ab446ab8728e4c0ae39759,respected-tern-570,LOCAL,/home/gfragi/.local/lib/python3.9/site-packages/ipykernel_launcher.py,gfragi,FINISHED,[2020 2021],0.2,16,10000,0.001,RMSE,75,100,42,CPU,0.75,0.6658282119889867,0.6310622284558387,1.175732534015681,0.6770240221435868,1.0843120095321646,,0.6382335638570107,0.326036016073821,0.676934131351441,1.0323058670930882,0.6452001280100286,0.33193322649651985,0.6660056330953459,1.0370523875153908,no,Amazon,CPU,CatBoostRegressor,2022,catboost_regression,zscore
